15112,2014-03-13 00:00,Todas,EF 5º ano,Testes A,1° Bimestre,,
12113,2014-03-15 00:00,Todas,EF 2º ano,Testes A,1° Bimestre,,
13113,2014-03-15 00:00,Todas,EF 3º ano,Testes A,1° Bimestre,,
14113,2014-03-15 00:00,Todas,EF 4º ano,Testes A,1° Bimestre,,
15113,2014-03-15 00:00,Todas,EF 5º ano,Testes A,1° Bimestre,,
19001,2014-03-16 00:00,Todas,EF 9º ano,Teste Álgebra Geometria 1º Bimestre,1° Bimestre,,
19002,2014-03-16 00:00,Todas,EF 9º ano,Teste Redação 1º Bimestre,1° Bimestre,,
19007,2014-03-16 00:00,Todas,EF 9º ano,Teste Inglês 1º Bimestre,1° Bimestre,,
19008,2014-03-16 00:00,Todas,EF 9º ano,Teste Espanhol 1º Bimestre,1° Bimestre,,
19009,2014-03-16 00:00,Todas,EF 9º ano,Teste Artes 1º Bimestre,1° Bimestre,,
19016,2014-03-16 00:00,Todas,EF 9º ano,2CH - Teste Inglês 1º Bimestre,1° Bimestre,,
19017,2014-03-16 00:00,Todas,EF 9º ano,2CH - Teste Espanhol 1º Bimestre,1° Bimestre,,
19018,2014-03-16 00:00,Todas,EF 9º ano,2CH - Teste Artes 1º Bimestre,1° Bimestre,,
19220,2014-03-16 00:00,Todas,EF 9º ano,Teste Álgebra Geometria 1º Bimestre,1° Bimestre,,
19221,2014-03-16 00:00,Todas,EF 9º ano,Teste Redação 1º Bimestre,1° Bimestre,,
19238,2014-03-16 00:00,Todas,EF 9º ano,Teste Álgebra Geometria 1º Bimestre,1° Bimestre,,
19239,2014-03-16 00:00,Todas,EF 9º ano,Teste Redação 1º Bimestre,1° Bimestre,,
19398,2014-03-16 00:00,Todas,EF 9º ano,Nota do Professor,1° Bimestre,,
21001,2014-03-16 00:00,Todas,1ª série PISM,Teste Mat1 Fis1 Geo1 Redação 1º Bimestre,1° Bimestre,,
21001,2014-03-16 00:00,Todas,1ª série Regular,Teste Mat1 Fis1 Geo1 Redação 1º Bimestre,1° Bimestre,,
21002,2014-03-16 00:00,Todas,1ª série PISM,Teste Qui1 Hist1 Bio1 Português 1º Bimestre,1° Bimestre,,
